function,generator,score
f2,lattice,5.953578396917832e+18
f2,lattice,3.8686152603444234e+18
f2,lattice,1.2864360286007272e+22
f2,lattice,2.5836346245981306e+21
f2,lattice,3.6703490809319045e+21
f2,lattice,2.9582432513865703e+19
f2,lattice,1.2229030076162386e+21
f2,lattice,3.398674255083929e+20
f2,lattice,9.903957294013856e+18
f2,lattice,2.3387144005715234e+20
f2,lattice,1.9081798956181878e+21
f2,lattice,4.3215849947786045e+20
f2,lattice,8.653945842519798e+16
f2,lattice,4.1677600284894125e+21
f2,lattice,3.461098962125407e+20
f2,lattice,8.195662197751804e+17
f2,lattice,1.7701356211870404e+20
f2,lattice,1.0778689656695132e+21
f13,random,3720.2078068319775
f13,random,15961.659051117971
f13,random,7113.523095043488
f13,random,11508.577740229524
f13,random,3022.781856525674
f13,random,14502.702839376048
f13,random,29294.66648256998
f13,random,2419.132420573601
f13,random,18897.20327718602
f13,random,31469.585752947874
f13,random,25662.631122929797
f13,random,46198.538423377584
f13,random,25550.76707206811
f13,random,18497.617682822427
f13,random,2290.3077458831294
f13,random,77350.68707955204
f13,random,3065.2581084644753
f13,random,2534.0500432444005
f13,random,2121.34529423568
f13,random,6890.482890423234
f13,random,11794.679079571211
f13,random,39532.44479270106
f13,random,3624.818283620968
f13,random,16001.918228025062
f13,random,21859.125292835623
f13,random,36384.212740767616
f13,random,8345.722763157904
f13,random,12191.91332217699
f13,random,20198.651785708087
f13,random,12895.470486676051
f13,numpy,16431.654183318016
f13,numpy,17673.930122237573
f13,numpy,42072.294710536684
f13,numpy,44376.62005100192
f13,numpy,53091.10145434457
f13,numpy,14622.427595257774
f13,numpy,15862.271033023457
f13,numpy,22649.741778016367
f13,numpy,11398.405838336415
f13,numpy,10331.6342527409
f13,numpy,2806.4231313103746
f13,numpy,10265.163044899167
f13,numpy,30884.776201368535
f13,numpy,2259.274436410891
f13,numpy,11458.414821372451
f13,numpy,4225.544294397954
f13,numpy,14468.541061073625
f13,numpy,41801.73783208912
f13,numpy,36746.13075912762
f13,numpy,2374.475012781867
f13,numpy,5672.32102245263
f13,numpy,5664.878564111057
f13,numpy,8393.942683197198
f13,numpy,5551.190236362154
f13,numpy,46740.99452475758
f13,numpy,29320.51257847405
f13,numpy,3471.795401883465
f13,numpy,33217.31723380403
f13,numpy,16554.832572015515
f13,numpy,7933.006990740252
f13,xoshiro,25527.856163564455
f13,xoshiro,17961.013817848645
f13,xoshiro,12806.721614034665
f13,xoshiro,10860.286613966917
