,halton,lattice,numpy,random,sobol,xoshiro
halton,1.0,1.3845534336472558e-09,1.0,1.0,1.0,1.0
lattice,1.3845534336472558e-09,1.0,3.1699053181245767e-13,3.8265589936175894e-07,4.364806098500033e-11,1.8805099267494225e-10
numpy,1.0,3.1699053181245767e-13,1.0,0.5714813434770508,1.0,1.0
random,1.0,3.8265589936175894e-07,0.5714813434770508,1.0,1.0,1.0
sobol,1.0,4.364806098500033e-11,1.0,1.0,1.0,1.0
xoshiro,1.0,1.8805099267494225e-10,1.0,1.0,1.0,1.0
